titre,annee,realisateur,note_presse,note_spectateurs,url
Le Seigneur des anneaux : la communauté de l'anneau de Peter Jackson,2001,Peter Jackson,3.7,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=27070.html
Fight Club de David Fincher,1999,David Fincher,2.7,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=21189.html
Dune : Deuxième Partie de Denis Villeneuve,2024,Denis Villeneuve,4.2,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=278742.html
Le Seigneur des anneaux : le retour du roi de Peter Jackson,2003,Peter Jackson,3.8,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=39187.html
Le Voyage de Chihiro de Hayao Miyazaki,2001,Hayao Miyazaki,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=37485.html
Apocalypse Now Final Cut de Francis Ford Coppola,1979,Francis Ford Coppola,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=27061.html
Spider-Man : Across The Spider-Verse de Joaquim Dos Santos et Kemp Powers,2023,Joaquim Dos Santos,4.1,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=269975.html
Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles) de George Lucas,1977,George Lucas,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=25801.html
American History X de Tony Kaye,1998,Tony Kaye,2.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=12475.html
Psychose de Alfred Hitchcock,1960,Alfred Hitchcock,4.5,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=1603.html
Guerre et Paix de Sergey Bondarchuk,1966,Sergey Bondarchuk,4.4,,https://www.allocine.fr/film/fichefilm_gen_cfilm=2606.html
Whiplash de Damien Chazelle,2014,Damien Chazelle,4.1,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=225953.html
Le Silence des agneaux de Jonathan Demme,1991,Jonathan Demme,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=6641.html
Le Kid de Charles Chaplin,1921,Charles Chaplin,4.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2255.html
Les Evadés de Frank Darabont,1994,Frank Darabont,3.2,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=11736.html
Le Parrain de Francis Ford Coppola,1972,Francis Ford Coppola,4.6,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=1628.html
12 hommes en colère de Sidney Lumet,1957,Sidney Lumet,5.0,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=4063.html
La Ligne verte de Frank Darabont,1999,Frank Darabont,2.8,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=22779.html
La Liste de Schindler de Steven Spielberg,1993,Steven Spielberg,4.2,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=9393.html
Forrest Gump de Robert Zemeckis,1994,Robert Zemeckis,2.6,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=10568.html
Le Seigneur des anneaux : la communauté de l'anneau (version longue) de Peter Jackson,2024,Peter Jackson,4.6,,https://www.allocine.fr/film/fichefilm_gen_cfilm=327721.html
Le Seigneur des anneaux : les deux tours (version longue) de Peter Jackson,2024,Peter Jackson,4.6,,https://www.allocine.fr/film/fichefilm_gen_cfilm=327723.html
Le Seigneur des anneaux : le retour du roi (version longue) de Peter Jackson,2024,Peter Jackson,4.6,,https://www.allocine.fr/film/fichefilm_gen_cfilm=327724.html
Usual Suspects de Bryan Singer,1995,Bryan Singer,4.6,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=12837.html
Le Tombeau des lucioles de Isao Takahata,1988,Isao Takahata,4.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=10251.html
Les Temps modernes de Charles Chaplin,1936,Charles Chaplin,4.6,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=1832.html
Green Book : Sur les routes du sud de Peter Farrelly,2018,Peter Farrelly,4.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=256661.html
La Vie est belle de Roberto Benigni,1998,Roberto Benigni,3.7,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=64439.html
Coco de Lee Unkrich et Adrian Molina,2017,Lee Unkrich,4.1,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=206775.html
Inception de Christopher Nolan,2010,Christopher Nolan,4.1,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=143692.html
Le Comte de Monte-Cristo de Matthieu Delaporte et Alexandre De La Patellière,2024,Matthieu Delaporte,3.6,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=288404.html
Your Name de Makoto Shinkai,2016,Makoto Shinkai,4.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=249877.html
"Le Parrain, 2e partie de Francis Ford Coppola",1974,Francis Ford Coppola,4.7,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=28201.html
Les Affranchis de Martin Scorsese,1990,Martin Scorsese,5.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=5969.html
Parasite de Bong Joon Ho,2019,Bong Joon Ho,4.8,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=255238.html
Gran Torino de Clint Eastwood,2008,Clint Eastwood,4.7,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=135063.html
Le Dictateur de Charles Chaplin,1940,Charles Chaplin,5.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=2253.html
Star Wars : Episode V - L'Empire contre-attaque de Irvin Kershner,1980,Irvin Kershner,5.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=25802.html
Seven de David Fincher,1995,David Fincher,3.6,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=13892.html
Le Seigneur des anneaux : les deux tours de Peter Jackson,2002,Peter Jackson,4.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=39186.html
