titre,url,source,date_publi,resume,score_alerte
"EN DIRECT, guerre en Ukraine : après la chute en Pologne d’un missile attribué à un tir russe, l’UE dénonce une « violation inacceptable de l’espace aérien » européen",https://www.lemonde.fr/international/live/2026/07/30/en-direct-guerre-en-ukraine-la-russie-accuse-kiev-d-avoir-bombarde-le-port-de-taman-dans-la-region-de-krasnodar_6732775_3210.html,www.lemonde.fr,"Thu, 30 Jul 2026 14:53:02 +0200","Le commandement des forces de l’OTAN en Europe a, de son côté, assuré jeudi être en « contact étroit » avec les autorités polonaises. L’OTAN dénonce aussi « une violation de l’espace aérien de la Pologne », et dit avoir déployé plusieurs avions et hélicoptères en réponse à cet incident.",1
"EN DIRECT, guerre au Moyen-Orient : des morts dans une attaque américaine sur l’Iran ; Téhéran revendique des frappes contre une base américaine en Jordanie",https://www.lemonde.fr/international/live/2026/07/30/en-direct-guerre-au-moyen-orient-des-morts-dans-une-attaque-americaine-sur-l-iran-teheran-revendique-des-frappes-contre-une-base-americaine-en-jordanie_6725301_3210.html,www.lemonde.fr,"Thu, 30 Jul 2026 15:19:36 +0200","Alors que l’Iran avait fait état d’attaques américaines dans la nuit de mercredi à jeudi, la Jordanie avait, à son tour, signalé l’interception de cinq missiles lancés d’Iran. L’attaque revendiquée par les gardiens de la révolution a visé une base américaine et mené, selon eux, à la destruction de t",1
Les associations engagées dans une course aux financements et aux économies pour pallier la baisse des aides publiques,https://www.lemonde.fr/societe/article/2026/07/30/les-associations-engagees-dans-une-course-aux-financements-et-aux-economies-pour-pallier-la-baisse-des-aides-publiques_6737015_3224.html,www.lemonde.fr,"Thu, 30 Jul 2026 14:30:01 +0200","Quelque 1,5 million d’organisations non lucratives et leurs soutiens se démènent, tout en appelant à cesser les coupes budgétaires.",1
Canicule : le gouvernement affirme avoir tenu sa promesse de livraison de 33 000 climatiseurs dans les hôpitaux et les Ehpad,https://www.lemonde.fr/societe/article/2026/07/30/canicule-le-gouvernement-affirme-avoir-tenu-sa-promesse-de-livraison-de-33-000-climatiseurs-dans-les-hopitaux-et-les-ehpad_6737018_3224.html,www.lemonde.fr,"Thu, 30 Jul 2026 14:35:53 +0200","« Quand bien même ils auraient été livrés, c’est du matériel grand public, livré dans l’urgence », dont « la robustesse » n’est pas suffisante, a réagi le représentant de la branche santé et action sociale de la CGT.",1
Les dessous du projet de Gianni Infantino d’ouvrir la FIFA aux investisseurs privés,https://www.lemonde.fr/sport/article/2026/07/30/les-dessous-du-projet-de-gianni-infantino-d-ouvrir-la-fifa-aux-investisseurs-prives_6736651_3242.html,www.lemonde.fr,"Thu, 30 Jul 2026 05:00:21 +0200","La Fédération internationale de football a annoncé, mardi, son intention de créer une société commerciale, pour maximiser ses revenus, notamment de la Coupe du monde. Une évolution critiquée, notamment par l’UEFA, qui dénonce la « vente » du football.",1
Il conteste son éviction du conseil d'administration d'une des principales holdings du groupe Castel: la justice de Singapour rejette le recours du directeur général du géant du vin et des boissons,https://www.bfmtv.com/economie/entreprises/il-conteste-son-eviction-du-conseil-d-administration-d-une-des-principales-holdings-du-groupe-castel-la-justice-de-singapour-rejette-le-recours-du-directeur-general-du-geant-du-vin-et-des-boissons_AD-202607300381.html,www.bfmtv.com,"Thu, 30 Jul 2026 13:48:18 GMT","En février, par une décision provisoire, la Haute Cour de la Cité-Etat asiatique avait confirmé la suspension de Grégory Clerc, quelques jours après un vote de l'assemblée générale de la holding révoquant cet ancien avocat fiscaliste du fondateur du groupe, Pierre Castel.",1
"Renaissance et Gabriel Attal déboutés par la justice, Marine Le Pen pourra bien continuer à utiliser son slogan",https://www.bfmtv.com/politique/la-republique-en-marche/renaissance-et-gabriel-attal-deboutes-par-la-justice-marine-le-pen-pourra-bien-continuer-a-utiliser-son-slogan_AN-202607300376.html,www.bfmtv.com,"Thu, 30 Jul 2026 13:39:57 GMT","Le tribunal judiciaire de Paris a rejeté ce jeudi 30 juillet la demande de Renaissance qui intimait au Rassemblement national de ne plus utiliser le nom de son parti dans le slogan de campagne de Marine Le Pen pour 2027. Mais la justice n'y a vu ni ""parasitisme"" ni ""contrefaçon de marque"". La candid",1
La météo pour ce vendredi 31 juillet 2026,https://www.bfmtv.com/meteo/video-la-meteo-pour-ce-vendredi-31-juillet-2026_VN-202607300377.html,www.bfmtv.com,"Thu, 30 Jul 2026 13:39:11 GMT","Les prévisions météo du moment. Par l'équipe météo de BFMTV: Christophe Person, Marc Hay, Sandra Larue, Guillaume Séchet et Virgilia Hess.",1
"""Une attente très forte"": le gouvernement souhaite renforcer la lutte pour la protection animale",https://www.bfmtv.com/animaux/une-attente-tres-forte-le-gouvernement-souhaite-renforcer-la-lutte-pour-la-protection-animale_AN-202607300374.html,www.bfmtv.com,"Thu, 30 Jul 2026 13:33:18 GMT","Après avoir reçu des association de défense des animaux mardi, Sébastien Lecornu a listé à ses ministres une ""série d'actions"" à mener sur le sujet.",1
"Foot: la Fifa prête à vendre des parts à des investisseurs privés, dont des proches de Trump",https://www.bfmtv.com/societe/video-foot-la-fifa-prete-a-vendre-des-parts-a-des-investisseurs-prives-dont-des-proches-de-trump_VN-202607300370.html,www.bfmtv.com,"Thu, 30 Jul 2026 13:16:11 GMT","La Fifa a essuyé mercredi des critiques venues surtout d'Europe après l'annonce de son projet de création d'une société commerciale ouverte aux investisseurs privés, mais son patron Gianni Infantino continue de défendre son plan, une ""occasion en or"" qui n'est ""pas une obligation"". ""La Fifa ne peut ",1
"Drones, satellites, répression... Comment la Grèce a changé de stratégie pour lutter contre les incendies",https://www.bfmtv.com/international/europe/grece/drones-satellites-repression-comment-la-grece-a-change-de-strategie-pour-lutter-contre-les-incendies_AN-202607300364.html,www.bfmtv.com,"Thu, 30 Jul 2026 12:59:37 GMT","En première ligne face aux conséquences du réchauffement climatique, la Grèce a modernisé son dispositif de lutte contre les incendies. Jusqu'à devenir un pionnier en la matière.",1
"""Une énorme puissance de calcul"": sept gigafactories dédiées à l'IA vont sortir de terre en Europe, financées à hauteur de 10 milliards d'euros par l'UE",https://www.bfmtv.com/economie/entreprises/industries/une-enorme-puissance-de-calcul-sept-gigafactories-dediees-a-l-ia-vont-sortir-de-terre-en-europe-financees-a-hauteur-de-10-milliards-d-euros-par-l-ue_AD-202607300361.html,www.bfmtv.com,"Thu, 30 Jul 2026 12:54:46 GMT","L'Union européenne va investir 10 milliards d'euros dans ces projets, et espère drainer au moins 20 milliards d'euros d'investissements privés. Ces gigafactories combineront des processeurs d'IA de pointe, des logiciels et technologies cloud, ainsi qu'une connectivité à haut débit et des centres de ",1
